event,date,country,city,artist,album,track,isrc,linkid,Year,Month,Day
preview,2021-08-24,India,Pune,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,24
preview,2021-08-24,Saudi Arabia,Riyadh,Saib,Elevation - Single,Elevation,USAT22007782,55b65f67-3b60-4f8f-b14b-65a4ffaa729e,2021,August,24
preview,2021-08-24,Iraq,Baghdad,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,24
preview,2021-08-24,India,Ahmedabad,EBEN,Dandelions,I Miss You,USAT22103157,410b7776-c184-45ff-8896-c705e5713ddb,2021,August,24
preview,2021-08-24,France,Fontenay-sous-Bois,"DLJ, BIDØ",Time Capsule,To the Moon,GBKQU2171093,0211bf4d-0e9d-46c2-889c-f97872280820,2021,August,24
preview,2021-08-24,India,Hyderabad,Duncan Laurence,Small Town Boy,Arcade (feat. FLETCHER),NL1TK2000069,cce607e4-1ecb-4ac7-9f83-eb0ce1e1e6d9,2021,August,24
preview,2021-08-24,India,Palakkad,PinkPantheress,Pain,Pain,QZFZ52145391,fd647d87-4c7a-4dd1-92c6-0e7dd7fdf4f1,2021,August,24
preview,2021-08-24,United Kingdom,Ipswich,Capella Grey,GYALIS,GYALIS,QZFYW2156440,62d8b57e-0d63-48a0-b856-546e50130534,2021,August,24
preview,2021-08-24,Pakistan,Karachi,"50 Cent, Olivia",The Massacre,Candy Shop,USIR10500072,97105aff-3e40-4c2e-bfeb-563b55e8f5dd,2021,August,24
preview,2021-08-24,Guatemala,Chicaman,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e,2021,August,24
preview,2021-08-24,Saudi Arabia,Jeddah,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c,2021,August,24
preview,2021-08-24,United States,Milton,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559,2021,August,24
preview,2021-08-24,Saudi Arabia,Riyadh,"Shawn Mendes, Tainy",Summer Of Love,Summer of Love (Shawn Mendes & Tainy),USUM72114707,d5317591-872a-487d-87cb-10a516643d5f,2021,August,24
preview,2021-08-24,India,Mohali,Jay Wheeler,Viendo el Techo,Viendo el Techo,USUYG1362281,d59af69f-10d8-4857-a851-b204c77d8856,2021,August,24
preview,2021-08-24,Saudi Arabia,Jeddah,Bazzi,COSMIC,Mine,USAT21704227,58802900-e783-45d7-be07-271d83efd3f8,2021,August,24
preview,2021-08-24,India,Hyderabad,"Shouse, David Guetta",Love Tonight (David Guetta Remix),Love Tonight - David Guetta Remix,USA2P2120717,53da9d1d-7fa4-489e-a94a-e370beebdd7f,2021,August,24
preview,2021-08-24,Saudi Arabia,Jeddah,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,24
preview,2021-08-24,Saudi Arabia,Jeddah,"Vandelux, Alex Maher",Matter of Time (feat. Alex Maher),Matter of Time (feat. Alex Maher),GBKPL2150049,c40647a1-b717-439b-a3c5-0f23ab4402ea,2021,August,24
